         d1r2d(1,0,0,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
